#,Date,SHA,Author,Message,Event,main,ubl-2.3-csd05-copy,ubl-2.3-cs02,ubl-2.3-os,ubl-2.4-csd01wd01,ubl-2.4-csd01wd02,review,ubl-2.3-os-iso,ubl-2.4-csd01,ubl-2.4-csd02-prd01-13,ubl-2.4-csd02,ubl-2.4-csd02-tsc,ubl-2.4-cs01-work,ubl-2.4-cs01,tsc-ubl-2.5-experimental,ubl-2.5-dev,ubl-2.4-os,ubl-2.4-os-iso-pub,retest,ubl-2.5-kenneth,UBL-433-xsd-doc,ubl-2.5-python,ubl-2.5-retry,server-test,ubl-2.5-2025-layout,kentest,ubl-2.5
335,2025-08-11,c635545,Kenneth Bengtsson,"New document types: DeliveryNote, InvoiceStatusRequest, InvoiceStatusResponse, WorkReport",, , , , , , , , , , , , , , , , , , , , , ,c635545, , , , , 
336,2025-08-11,24eb5fc,Kenneth Bengtsson,"Added ""Approver""",, , , , , , , , , , , , , , , , , , , , , ,24eb5fc, , , , , 
337,2025-08-11,b9f5b8b,Kenneth Bengtsson,Removed Freight Invoice example,, , , , , , , , , , , , , , , , , , , , , ,b9f5b8b, , , , , 
338,2025-08-11,7805101,Kenneth Bengtsson,Updated version date,, , , , , , , , , , , , , , , , , , , , , ,7805101, , , , , 
339,2025-08-11,0fc7869,Kenneth Bengtsson,Updated version date and release date,, , , , , , , , , , , , , , , , , , , , , ,0fc7869, , , , , 
340,2025-08-11,278685c,Kenneth Bengtsson,Updated release date,, , , , , , , , , , , , , , , , , , , , , ,278685c, , , , , 
341,2025-08-11,10b9d3e,Kenneth Bengtsson,Delete raw/xml/UBL-FreightInvoice-2.1-Example.xml (deprecated),, , , , , , , , , , , , , , , , , , , , , ,10b9d3e, , , , , 
342,2025-08-11,1a90d13,Kenneth Bengtsson,Delete art/UBL-2.0-FreightBillingProcess.png (deprecated),, , , , , , , , , , , , , , , , , , , , , ,1a90d13, , , , , 
343,2025-08-11,ca6e534,Kenneth Bengtsson,Delete htmlart/UBL-2.0-FreightBillingProcess.png (deprecated),, , , , , , , , , , , , , , , , , , , , , ,ca6e534, , , , , 
344,2025-08-11,9ec0e3c,Kenneth Bengtsson,Freight invoice (see UBL448),, , , , , , , , , , , , , , , , , , , , , ,9ec0e3c, , , , , 
345,2025-08-11,a1d9bd2,Kenneth Bengtsson,Removed Freight Invoice example (deprecated),, , , , , , , , , , , , , , , , , , , , , ,a1d9bd2, , , , , 
346,2025-08-11,e6c4534,Kenneth Bengtsson,Removed Freight Invoice example (deprecated),, , , , , , , , , , , , , , , , , , , , , ,e6c4534, , , , , 
347,2025-08-11,e9c8dc8,Kenneth Bengtsson,"Fixed ""Mismatched row number"" issues",, , , , , , , , , , , , , , , , , , , , , ,e9c8dc8, , , , , 
348,2025-08-13,e52d6ba,gkholman,"Addressing the hub integrity reports, first attempt",, , , , , , , , , , , , , , , , , , , , , ,e52d6ba, , , , , 
349,2025-08-13,df76cf1,gkholman,Match the URI with the text in the rows documenting endorsed schemas,, , , , , , , , , , , , , , , , , , , , , ,df76cf1, , , , , 
350,2025-08-13,1623053,gkholman,Third attempt at clearing integrity errors,, , , , , , , , , , , , , , , , , , , , , ,1623053, , , , , 
351,2025-08-13,ebc8d4d,gkholman,"Fifth try: check only maindoc endorsed schemas, don't point to non-endorsed endorsed schemas, and point to directory name without slash",, , , , , , , , , , , , , , , , , , , , , ,ebc8d4d, , , , , 
352,2025-08-13,09e538e,gkholman,Special case relative directory references in the hub; repair document spreadsheet definition for Attached Document,, , , , , , , , , , , , , , , , , , , , , ,09e538e, , , , , 
353,2025-08-16,8995532,gkholman,Try new compress options with 7zip,, , , , , , , , , , , , , , , , , , , , , ,8995532, , , , , 
354,2025-08-20,0b44c38,G. Ken Holman,Merge pull request #28 from oasis-tcs/ubl-2.5-7zip-test,, , , , , , , , , , , , , , , , , , , , , ,0b44c38, , , , , 
355,2025-10-07,8d7b31e,Kees Duvekot,Create build.py,, , , , , , , , , , , , , , , , , , , , , ,8d7b31e, , , , , 
356,2025-10-07,15592ed,Kees Duvekot,add Python environment,, , , , , , , , , , , , , , , , , , , , , , ,15592ed, , , , 
357,2025-10-07,0baef61,Kees Duvekot,Merge pull request #29 from oasis-tcs/ubl-2.5,MERGE: ubl-2.5-retry → ubl-2.5-python (PR#29), , , , , , , , , , , , , , , , , , , , , ,0baef61,←merged←, , , , 
358,2025-10-07,231a847,Kees Duvekot,change if condition,, , , , , , , , , , , , , , , , , , , , , ,231a847, , , , , 
359,2025-10-07,2b88cfe,Kees Duvekot,fix indentation error,, , , , , , , , , , , , , , , , , , , , , ,2b88cfe, , , , , 
360,2025-10-07,52ce599,Kees Duvekot,fix more indentation issues,, , , , , , , , , , , , , , , , , , , , , ,52ce599, , , , , 
361,2025-10-08,6cad8cc,Kees Duvekot,signatureGoogle .. no extra s,, , , , , , , , , , , , , , , , , , , , , ,6cad8cc, , , , , 
362,2025-10-08,7d19acc,Kees Duvekot,adding correct os.env settings,, , , , , , , , , , , , , , , , , , , , , ,7d19acc, , , , , 
363,2025-10-08,c12b81a,Kees Duvekot,sync main repo build.yml,TIP: main,c12b81a ◆, , , , , , , , , , , , , , , , , , , , , , , , , , 
364,2025-10-08,48d94e7,Kees Duvekot,sync build.yml,, , , , , , , , , , , , , , , , , , , , , , ,48d94e7, , , , 
365,2025-10-11,78f07eb,gkholman,Repair exposition of endorsed/deprecated spreadsheet content for document ABIEs,, , , , , , , , , , , , , , , , , , , , , , ,78f07eb, , , , 
366,2025-10-11,42d6503,Kees Duvekot,add ProcurementStatus and ProcurementStatusRequest,, , , , , , , , , , , , , , , , , , , , , , ,42d6503, , , , 
367,2025-10-11,021e5ea,Kees Duvekot,exclude worksheets that start with Logs,, , , , , , , , , , , , , , , , , , , , , , ,021e5ea, , , , 
368,2025-10-11,89ab66d,Kees Duvekot,rework RegEx,, , , , , , , , , , , , , , , , , , , , , , ,89ab66d, , , , 
369,2025-10-11,7bda41b,Kees Duvekot,More rework of the regex,, , , , , , , , , , , , , , , , , , , , , , ,7bda41b, , , , 
370,2025-10-11,4766bd6,Kees Duvekot,And some more regex updates,, , , , , , , , , , , , , , , , , , , , , , ,4766bd6, , , , 
371,2025-10-11,99a14b6,Kees Duvekot,chatgpt proposal 5,, , , , , , , , , , , , , , , , , , , , , , ,99a14b6, , , , 
372,2025-10-11,5c5751c,Kees Duvekot,option 6,, , , , , , , , , , , , , , , , , , , , , , ,5c5751c, , , , 
373,2025-10-11,d3f229e,Kees Duvekot,Option 7,, , , , , , , , , , , , , , , , , , , , , , ,d3f229e, , , , 
374,2025-10-12,5a3b199,Kees Duvekot,Expanded option 7,, , , , , , , , , , , , , , , , , , , , , , ,5a3b199, , , , 
375,2025-10-12,cde73b5,Kees Duvekot,fix Mismatched row numbers,, , , , , , , , , , , , , , , , , , , , , , ,cde73b5, , , , 
376,2025-10-12,9aab74c,Kees Duvekot,Update New Document Types in UBL 2.5,, , , , , , , , , , , , , , , , , , , , , , ,9aab74c, , , , 
377,2025-10-12,cc12281,Kees Duvekot,Merge pull request #30 from oasis-tcs/ubl-2.5,MERGE: ubl-2.5-retry → ubl-2.5-python (PR#30), , , , , , , , , , , , , , , , , , , , , ,cc12281,←merged←, , , , 
378,2025-10-12,d7563dc,Kees Duvekot,get machine details for the workflow,, , , , , , , , , , , , , , , , , , , , , ,d7563dc, , , , , 
379,2025-10-12,a35a6c6,Kees Duvekot,run with 4 cores on github,, , , , , , , , , , , , , , , , , , , , , ,a35a6c6, , , , , 
380,2025-10-12,dde62d8,Kees Duvekot,failed with 4 cores .. trying 3,, , , , , , , , , , , , , , , , , , , , , ,dde62d8, , , , , 
381,2025-10-12,a37813d,Kees Duvekot,add ant version to the output,, , , , , , , , , , , , , , , , , , , , , ,a37813d, , , , , 
382,2025-10-12,11dea4f,Kees Duvekot,reducing cpu count to 2,, , , , , , , , , , , , , , , , , , , , , ,11dea4f, , , , , 
383,2025-10-12,0da08c6,Kees Duvekot,Update build.xml back to 1 cpu :-(,, , , , , , , , , , , , , , , , , , , , , ,0da08c6, , , , , 
384,2025-10-12,0ed1f0a,Kees Duvekot,Updated build.py script,, , , , , , , , , , , , , , , , , , , , , ,0ed1f0a, , , , , 
385,2025-10-12,50d38e5,Kees Duvekot,Fix for target-py,, , , , , , , , , , , , , , , , , , , , , ,50d38e5, , , , , 
386,2025-10-12,37651cd,Kees Duvekot,Add py to artifact from the Python build,, , , , , , , , , , , , , , , , , , , , , ,37651cd, , , , , 
387,2025-10-12,d7286e2,Kees Duvekot,use .7 extension in the python build,, , , , , , , , , , , , , , , , , , , , , ,d7286e2, , , , , 
388,2025-10-12,243ab2a,Kees Duvekot,add debugging to build.yml,, , , , , , , , , , , , , , , , , , , , , ,243ab2a, , , , , 
389,2025-10-13,b2d7ec5,Kees Duvekot,cleanup 7z file names in script,, , , , , , , , , , , , , , , , , , , , , ,b2d7ec5, , , , , 
390,2025-10-13,5473b60,Kees Duvekot,debug parts of the script,, , , , , , , , , , , , , , , , , , , , , ,5473b60, , , , , 
391,2025-10-14,8079493,Kees Duvekot,debug build-common.sh,, , , , , , , , , , , , , , , , , , , , , ,8079493, , , , , 
392,2025-10-16,16bd5a5,Kees Duvekot,update build-common.sh,, , , , , , , , , , , , , , , , , , , , , ,16bd5a5, , , , , 
393,2025-10-17,eeeff42,kduvekot,updated Python build file,, , , , , , , , , , , , , , , , , , , , , ,eeeff42, , , , , 
394,2025-10-17,7d97394,kduvekot,use full paths for zipping,, , , , , , , , , , , , , , , , , , , , , ,7d97394, , , , , 
395,2025-10-18,19aa809,kduvekot,update build.yml for consistent timestamp use,, , , , , , , , , , , , , , , , , , , , , ,19aa809, , , , , 
396,2025-10-18,ac4c631,Kees Duvekot,remove -py from the target in additonal cleanup,, , , , , , , , , , , , , , , , , , , , , ,ac4c631, , , , , 
397,2025-10-19,e097fa2,kduvekot,rework build.py,, , , , , , , , , , , , , , , , , , , , , ,e097fa2, , , , , 
398,2025-10-19,9a0fc84,kduvekot,refactor build.py to be more python like,, , , , , , , , , , , , , , , , , , , , , ,9a0fc84, , , , , 
399,2025-10-19,3f42d7b,kduvekot,add pip install to build.yml,, , , , , , , , , , , , , , , , , , , , , ,3f42d7b, , , , , 
400,2025-10-19,d710dc4,kduvekot,latest version of the build.py script,, , , , , , , , , , , , , , , , , , , , , ,d710dc4, , , , , 
401,2025-10-19,f640e32,kduvekot,use python with full paths,, , , , , , , , , , , , , , , , , , , , , ,f640e32, , , , , 
402,2025-10-19,d2942fc,kduvekot,change compression algoritme to match shell,, , , , , , , , , , , , , , , , , , , , , ,d2942fc, , , , , 
403,2025-10-20,0d4ad4a,kduvekot,some more compression related changes,, , , , , , , , , , , , , , , , , , , , , ,0d4ad4a, , , , , 
404,2025-10-20,98c5c77,kduvekot,change back to external 7z,, , , , , , , , , , , , , , , , , , , , , ,98c5c77, , , , , 
405,2025-10-20,20c6078,kduvekot,use subprocess with cwd argument,, , , , , , , , , , , , , , , , , , , , , ,20c6078, , , , , 
406,2025-10-20,d9b5ae0,Kees Duvekot,update to csd02,, , , , , , , , , , , , , , , , , , , , , , ,d9b5ae0, , , , 
407,2025-10-20,75c7271,Kees Duvekot,update to csd02,, , , , , , , , , , , , , , , , , , , , , , ,75c7271, , , , 
408,2025-10-20,963c24d,Kees Duvekot,correct for csd02 releaase,, , , , , , , , , , , , , , , , , , , , , , ,963c24d, , , , 
409,2025-10-20,28129c9,kduvekot,move python to own seperate build xml file,, , , , , , , , , , , , , , , , , , , , , ,28129c9, , , , , 
410,2025-10-20,2973b6f,Kees Duvekot,fix missing quote,, , , , , , , , , , , , , , , , , , , , , , ,2973b6f, , , , 
411,2025-11-05,fb1b8d8,Claude,Add target/ directory to .gitignore,, , , , , , , , , , , , , , , , , , , , , ,fb1b8d8, , , , , 
412,2025-11-05,f0d4264,Claude,Add comprehensive environment setup documentation,, , , , , , , , , , , , , , , , , , , , , ,f0d4264, , , , , 
413,2025-11-06,b9c6933,Kees Duvekot,Merge pull request #1 from claude code,, , , , , , , , , , , , , , , , , , , , , ,b9c6933, , , , , 
414,2025-11-06,a0c7170,Kees Duvekot,Update build workflow to ignore 'claude/**' branches,, , , , , , , , , , , , , , , , , , , , , ,a0c7170, , , , , 
415,2025-11-06,6e283a1,Kees Duvekot,Merge pull request #2 from kduvekot/github-workflow-changes,, , , , , , , , , , , , , , , , , , , , , ,6e283a1, , , , , 
416,2025-11-06,a764b30,Kees Duvekot,correct workflow_dispatch trigger to build.yml,, , , , , , , , , , , , , , , , , , , , , ,a764b30, , , , , 
417,2025-11-17,9a5374c,Claude,Update UBL from CSD01 to CSD02 with release date 19 November 2025,, , , , , , , , , , , , , , , , , , , , , ,9a5374c, , , , , 
418,2025-11-17,14d8e70,Claude,Update ident-UBL-Endorsed.xml to CSD02,, , , , , , , , , , , , , , , , , , , , , ,14d8e70, , , , , 
419,2025-11-17,e8782d2,Kees Duvekot,Merge pull request #3 from kduvekot/claude/review-git-history-01NCwMMBJVmEzNmra8BS9Bbu,, , , , , , , , , , , , , , , , , , , , , ,e8782d2, , , , , 
420,2025-11-17,7628a9c,Kees Duvekot,Merge pull request #31 from kduvekot/ubl-2.5-python,, , , , , , , , , , , , , , , , , , , , , ,7628a9c, , , , , 
421,2025-11-17,814ecd6,Kees Duvekot,Merge branch 'ubl-2.5' into ubl-2.5-python,MERGE: ubl-2.5-retry → ubl-2.5-python, , , , , , , , , , , , , , , , , , , , , ,814ecd6,←merged←, , , , 
422,2025-11-17,e596d45,Claude,Add UBL 2.5 CSD01 comparison files for CSD02 build,, , , , , , , , , , , , , , , , , , , , , ,e596d45, , , , , 
423,2025-11-17,8f060e7,Claude,Complete UBL 2.5 CSD01 comparison files with full content,, , , , , , , , , , , , , , , , , , , , , ,8f060e7, , , , , 
424,2025-11-17,fefb987,Kees Duvekot,Merge pull request #4 from kduvekot/claude/investigate-shadow-ubl-01Nvm5Y3Vacd3gexB9X546pL,, , , , , , , , , , , , , , , , , , , , , ,fefb987, , , , , 
425,2025-11-17,6c4d314,Kees Duvekot,Merge pull request #33 from kduvekot/ubl-2.5-python,TIP: ubl-2.5-python | BRANCH: ubl-2.5-retry from ubl-2.5-python, , , , , , , , , , , , , , , , , , , , , ,6c4d314 ⊢→ubl-2.5-retry ◆,6c4d314, , , , 
426,2025-11-17,05bfda6,Kees Duvekot,Merge pull request #5 from oasis-tcs/ubl-2.5-python,MERGE: ubl-2.5-python → server-test (PR#5), , , , , , , , , , , , , , , , , , , , , ,→merged→, ,05bfda6, , , 
427,2025-11-17,a791013,Kees Duvekot,Merge pull request #32 from oasis-tcs/ubl-2.5-python,MERGE: ubl-2.5-python → ubl-2.5-retry (PR#32), , , , , , , , , , , , , , , , , , , , , ,→merged→,a791013, , , , 
428,2025-11-17,c48c4ab,Claude,Fix row number references in UBL 2.5 documentation,, , , , , , , , , , , , , , , , , , , , , , , ,c48c4ab, , , 
429,2025-11-17,eec48c4,Kees Duvekot,Merge pull request #34 from kduvekot/claude/fix-spreadsheet-links,MERGE: server-test → ubl-2.5-retry (PR#34), , , , , , , , , , , , , , , , , , , , , , ,eec48c4,←merged←, , , 
430,2025-11-19,b6c6d5f,Kenneth Bengtsson,Updated dates to 26/11/2025,, , , , , , , , , , , , , , , , , , , , , , ,b6c6d5f, , , , 
431,2025-11-19,1767e4b,Kenneth Bengtsson,Updated dates to 26/11/2025,, , , , , , , , , , , , , , , , , , , , , , ,1767e4b, , , , 
432,2025-11-19,e6bfe4a,Kenneth Bengtsson,Updated dates to 26/11/2025,, , , , , , , , , , , , , , , , , , , , , , ,e6bfe4a, , , , 
433,2025-11-19,3f53003,Kenneth Bengtsson,Updated date to 26/11/2025,, , , , , , , , , , , , , , , , , , , , , , ,3f53003, , , , 
434,2025-11-19,f823744,Kenneth Bengtsson,Updated date to 26/11/2025,, , , , , , , , , , , , , , , , , , , , , , ,f823744, , , , 
435,2025-11-19,4ac2941,Kenneth Bengtsson,Updated date to 26/11/2025,, , , , , , , , , , , , , , , , , , , , , , ,4ac2941, , , , 
436,2025-11-19,ec1bd2d,Kenneth Bengtsson,Updated date to 26/11/2025,, , , , , , , , , , , , , , , , , , , , , , ,ec1bd2d, , , , 
437,2025-11-19,34f6a8f,Kenneth Bengtsson,Updated date to 26/11/2025,, , , , , , , , , , , , , , , , , , , , , , ,34f6a8f, , , , 
438,2025-11-19,2e2d0d1,Kenneth Bengtsson,Updated date to 26/11/2025,, , , , , , , , , , , , , , , , , , , , , , ,2e2d0d1, , , , 
439,2025-11-19,062f20a,Kenneth Bengtsson,Updated date to 26/11/2025,, , , , , , , , , , , , , , , , , , , , , , ,062f20a, , , , 
440,2025-11-19,6408494,Kenneth Bengtsson,UBL-463 and UBL-464,, , , , , , , , , , , , , , , , , , , , , , ,6408494, , , , 
441,2025-11-19,0f7a181,Kenneth Bengtsson,UBL-462,, , , , , , , , , , , , , , , , , , , , , , ,0f7a181, , , , 
442,2025-11-19,dddad3c,Kenneth Bengtsson,Fixed /article/section[7]/section[2] title,, , , , , , , , , , , , , , , , , , , , , , ,dddad3c, , , , 
443,2025-11-20,685632a,Kenneth Bengtsson,Debugging /article/section[7]/section[2] id/title,, , , , , , , , , , , , , , , , , , , , , , ,685632a, , , , 
444,2025-11-20,a04ecee,Kenneth Bengtsson,Debugging /article/section[7]/section[2],, , , , , , , , , , , , , , , , , , , , , , ,a04ecee, , , , 
445,2025-11-20,5bc99dd,Kenneth Bengtsson,Added Waste Movement/Notification,, , , , , , , , , , , , , , , , , , , , , , ,5bc99dd, , , , 
446,2025-11-20,95c6ce2,Kenneth Bengtsson,Fixed Semantic Conformance reference from 4.7,, , , , , , , , , , , , , , , , , , , , , , ,95c6ce2, , , , 
447,2025-11-20,98248b3,Kenneth Bengtsson,Waste Movement processes,, , , , , , , , , , , , , , , , , , , , , , ,98248b3, , , , 
448,2025-11-20,50509b3,Kenneth Bengtsson,Waste Movement processes,, , , , , , , , , , , , , , , , , , , , , , ,50509b3, , , , 
449,2025-11-20,b8d3a9f,Kenneth Bengtsson,Waste Movement processes,, , , , , , , , , , , , , , , , , , , , , , ,b8d3a9f, , , , 
450,2025-11-20,853264c,Kenneth Bengtsson,Delete art/UBL-2.5-WasteMovementStatementProcess.png,, , , , , , , , , , , , , , , , , , , , , , ,853264c, , , , 
451,2025-11-20,0c0b4a9,Kenneth Bengtsson,Waste Notification Process,, , , , , , , , , , , , , , , , , , , , , , ,0c0b4a9, , , , 
452,2025-11-20,24ac8c7,Kenneth Bengtsson,Waste Notification Process,, , , , , , , , , , , , , , , , , , , , , , ,24ac8c7, , , , 
453,2025-11-20,c8303d0,Kenneth Bengtsson,Delete htmlart/UBL-2.5-WasteMovementStatementProcess.png,, , , , , , , , , , , , , , , , , , , , , , ,c8303d0, , , , 
454,2025-11-20,d7e1f8f,Kenneth Bengtsson,Waste Notification Process (corrected resolution),, , , , , , , , , , , , , , , , , , , , , , ,d7e1f8f, , , , 
455,2025-11-20,fef8885,Kenneth Bengtsson,Waste Notification Process,, , , , , , , , , , , , , , , , , , , , , , ,fef8885, , , , 
456,2025-11-20,1946baf,Kenneth Bengtsson,Delete images/UBL-2.5-WasteMovementStatementProcess.drawio,, , , , , , , , , , , , , , , , , , , , , , ,1946baf, , , , 
457,2025-11-20,a911c6f,Kenneth Bengtsson,Added Waste Shipment Management,, , , , , , , , , , , , , , , , , , , , , , ,a911c6f, , , , 
458,2025-11-20,2a049a5,Kenneth Bengtsson,Waste Shipment Management process,, , , , , , , , , , , , , , , , , , , , , , ,2a049a5, , , , 
459,2025-11-20,2b5ea0f,Kenneth Bengtsson,Fixed waste movement process id,, , , , , , , , , , , , , , , , , , , , , , ,2b5ea0f, , , , 
460,2025-11-20,8a1853d,Kenneth Bengtsson,Fixed new docs annex,, , , , , , , , , , , , , , , , , , , , , , ,8a1853d, , , , 
461,2025-11-21,3c9b3d3,Kenneth Bengtsson,"Updated section 8, Minor Revision: UBL 2.5",, , , , , , , , , , , , , , , , , , , , , , ,3c9b3d3, , , , 
462,2025-12-02,915601b,Kees Duvekot,update UBL.xml,, , , , , , , , , , , , , , , , , , , , , , ,915601b, , , , 
463,2025-12-03,75166c7,Kenneth Bengtsson,Editorship to be confirmed by TC,, , , , , , , , , , , , , , , , , , , , , , ,75166c7, , , , 
464,2025-12-03,c142e81,Kenneth Bengtsson,Updated date to today,, , , , , , , , , , , , , , , , , , , , , , ,c142e81, , , , 
465,2025-12-03,c4ec1d3,Kenneth Bengtsson,Updated date to today,, , , , , , , , , , , , , , , , , , , , , , ,c4ec1d3, , , , 
466,2025-12-03,26f78f0,Kenneth Bengtsson,Updated date to today,, , , , , , , , , , , , , , , , , , , , , , ,26f78f0, , , , 
467,2025-12-03,1de941a,Kenneth Bengtsson,Updated date to today,, , , , , , , , , , , , , , , , , , , , , , ,1de941a, , , , 
468,2025-12-03,599ce87,Kenneth Bengtsson,Updated date to today,, , , , , , , , , , , , , , , , , , , , , , ,599ce87, , , , 
469,2025-12-03,085a809,Kenneth Bengtsson,Updated date to today,, , , , , , , , , , , , , , , , , , , , , , ,085a809, , , , 
470,2025-12-03,038fcb5,Kenneth Bengtsson,Updated date to today,, , , , , , , , , , , , , , , , , , , , , , ,038fcb5, , , , 
471,2025-12-03,deaf31f,Kenneth Bengtsson,Updated date to today,, , , , , , , , , , , , , , , , , , , , , , ,deaf31f, , , , 
472,2025-12-03,9e3e395,Kenneth Bengtsson,Updated date to today,, , , , , , , , , , , , , , , , , , , , , , ,9e3e395, , , , 
473,2025-12-03,1ae74f8,Kenneth Bengtsson,Updated date to today,, , , , , , , , , , , , , , , , , , , , , , ,1ae74f8, , , , 
474,2025-12-03,b122814,Kenneth Bengtsson,Updated date to today,BRANCH: ubl-2.5-2025-layout from ubl-2.5-retry | BRANCH: server-test from ubl-2.5-2025-layout, , , , , , , , , , , , , , , , , , , , , , ,b122814 ⊢→ubl-2.5-2025-layout,b122814,b122814 ⊢→server-test, , 
475,2026-01-09,90d593d,gkholman,Confirm 2020 layout still works with latest server revision,, , , , , , , , , , , , , , , , , , , , , , , , ,90d593d, , 
476,2026-01-09,6b82240,gkholman,First attempt at 2025 layout,, , , , , , , , , , , , , , , , , , , , , , , , ,6b82240, , 
477,2026-01-10,5e82133,gkholman,Change library references from 0.8 to 0.9,, , , , , , , , , , , , , , , , , , , , , , , , ,5e82133, , 
478,2026-01-10,d417900,gkholman,More library references from 0.8 to 0.9,, , , , , , , , , , , , , , , , , , , , , , , , ,d417900, , 
479,2026-01-10,4c426d8,gkholman,Remove BASH-isms from shell invocations for latest GitHub conformance,, , , , , , , , , , , , , , , , , , , , , , , , ,4c426d8, , 
480,2026-01-10,4f9929a,gkholman,Hack UBL-2.4.xml to point to new location of DocBook DTD,, , , , , , , , , , , , , , , , , , , , , , , , ,4f9929a, , 
481,2026-01-15,5e984b8,gkholman,Test access to production server,TIP: ubl-2.5-2025-layout | BRANCH: kentest from ubl-2.5-2025-layout, , , , , , , , , , , , , , , , , , , , , , , , ,5e984b8 ⊢→kentest ◆,5e984b8, 
482,2026-01-21,68aabb9,gkholman,Retry server access,TIP: server-test, , , , , , , , , , , , , , , , , , , , , , , ,68aabb9 ◆, , , 
483,2026-01-21,64ad501,gkholman,Retry server access,, , , , , , , , , , , , , , , , , , , , , , , , , ,64ad501, 
484,2026-01-21,7f8f046,gkholman,Run on Réalta QA server for server test,TIP: kentest, , , , , , , , , , , , , , , , , , , , , , , , , ,7f8f046 ◆, 
485,2026-01-21,f738ca3,gkholman,Retry with unchanged .gc files,TIP: ubl-2.5-retry, , , , , , , , , , , , , , , , , , , , , , ,f738ca3 ◆, , , , 
486,2026-01-21,49dae5c,Kees Duvekot,resubit .g files,, , , , , , , , , , , , , , , , , , , , , , , , , , ,49dae5c
487,2026-01-21,ea6223d,Kenneth Bengtsson,"Corrected ""UBL 2.3/2.4 is technically a minor release""",BRANCH: ubl-2.5 from ubl-2.5-retry, , , , , , , , , , , , , , , , , , , , , , ,ea6223d ⊢→ubl-2.5, , , ,ea6223d
488,2026-01-28,27b46f5,Kees Duvekot,Ubl 2.5 2025 layout,MERGE: ubl-2.5-2025-layout → ubl-2.5, , , , , , , , , , , , , , , , , , , , , , , , ,→merged→, ,27b46f5
489,2026-02-09,ec5591c,Kenneth Bengtsson,Updated release date,, , , , , , , , , , , , , , , , , , , , , , , , , , ,ec5591c
490,2026-02-09,17945be,Kenneth Bengtsson,Updated release date,, , , , , , , , , , , , , , , , , , , , , , , , , , ,17945be
491,2026-02-09,d7a6368,Kenneth Bengtsson,Updated release date,, , , , , , , , , , , , , , , , , , , , , , , , , , ,d7a6368
492,2026-02-09,221d115,Kenneth Bengtsson,Updated release date,, , , , , , , , , , , , , , , , , , , , , , , , , , ,221d115
493,2026-02-09,64216b2,Kenneth Bengtsson,Updated release date,, , , , , , , , , , , , , , , , , , , , , , , , , , ,64216b2
494,2026-02-09,757fb6d,Kenneth Bengtsson,Updated release date,, , , , , , , , , , , , , , , , , , , , , , , , , , ,757fb6d
495,2026-02-09,a397e38,Kenneth Bengtsson,Updated release date,, , , , , , , , , , , , , , , , , , , , , , , , , , ,a397e38
496,2026-02-09,ba7d5d7,Kenneth Bengtsson,Updated release date,, , , , , , , , , , , , , , , , , , , , , , , , , , ,ba7d5d7
497,2026-02-09,8927dd6,Kenneth Bengtsson,Updated to CSD03 version number,, , , , , , , , , , , , , , , , , , , , , , , , , , ,8927dd6
498,2026-02-09,7f2b4ea,Kenneth Bengtsson,Updated to CSD03 version number,, , , , , , , , , , , , , , , , , , , , , , , , , , ,7f2b4ea
499,2026-02-09,22f30d9,Kenneth Bengtsson,Updated CSD03 version number and release date,, , , , , , , , , , , , , , , , , , , , , , , , , , ,22f30d9
500,2026-02-09,28960f7,Kenneth Bengtsson,Updated CSD03 version and release date,, , , , , , , , , , , , , , , , , , , , , , , , , , ,28960f7
501,2026-02-09,9a4ee63,Kenneth Bengtsson,Updated CSD03 version number,, , , , , , , , , , , , , , , , , , , , , , , , , , ,9a4ee63
502,2026-02-09,18d4448,Kenneth Bengtsson,Updated CSD03 version number,, , , , , , , , , , , , , , , , , , , , , , , , , , ,18d4448
503,2026-02-09,6fbccae,Kenneth Bengtsson,Updated CSD03 version number,, , , , , , , , , , , , , , , , , , , , , , , , , , ,6fbccae
504,2026-02-09,a66c455,Kenneth Bengtsson,CSD02 entities files,, , , , , , , , , , , , , , , , , , , , , , , , , , ,a66c455
505,2026-02-09,3d81e8a,Kenneth Bengtsson,"Updated CSD03 version number, release date, and editor",TIP: ubl-2.5, , , , , , , , , , , , , , , , , , , , , , , , , , ,3d81e8a ◆
